S01E01: 3.45
S01E12: 4.19
S01E13: 5.22
S02E01: 7.64
S02E02: 5.33
S02E03: 5.60
S02E04: 7.16
S02E05: 5.34
S02E06: 5.83
S02E07: 6.66
S02E08: 6.29
S02E09: 7.18
S02E10: 7.62
S02E11: 5.51
S02E12: 5.44
S02E13: 8.97
S03E01: 11.26
S03E02: 11.35
S03E03: 8.37
S03E04: 7.96
S03E05: 7.40
S03E06: 8.44
S03E07: 9.21
S03E08: 8.60
S03E09: 8.64
S03E10: 8.44
S03E11: 8.79
S03E13: 9.46
S04E01: 13.43
S04E02: 11.21
S04E03: 10.97
S04E04: 10.67
S04E05: 9.76
S04E06: 10.46
S04E07: 9.72
S04E08: 10.97
S04E09: 9.83
S04E10: 10.68
S04E11: 11.12
S04E12: 11.07
S04E13: 12.48
S05E01: 12.14
S05E02: 9.97
S05E03: 10.11
S05E04: 9.69
S05E05: 9.75
S05E06: 9.93
S05E07: 9.08
S05E08: 9.99
S05E09: 8.96
S05E10: 8.48
S05E11: 8.81
S05E12: 9.53
S05E13: 10.98
S06AE01: 9.47
S06AE02: 9.18
S06AE03: 8.93
S06AE04: 8.83
S06AE05: 8.58
S06AE06: 7.94
S06AE07: 8.49
S06AE08: 8.54
S06AE09: 8.49
S06AE10: 8.13
S06AE11: 8.18
S06AE12: 8.91
S06BE01: 7.66
S06BE02: 7.42
S06BE03: 6.85
S06BE04: 6.76
S06BE05: 7.16
S06BE06: 6.49
S06BE07: 7.34
S06BE08: 8.02
S06BE09: 11.90
